date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:11:24	210832/210832	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2031%20Mar%202024%2013:09:58%20GMT	https://hadafplay.com/	C:/My%20Web%20Sites/atif/hadafplay.com/index.html	(from )
18:11:25	124/124	U-----	200	untouched ('OK')	text/plain	date:Sat,%2030%20Mar%202024%2018:54:33%20GMT	https://hadafplay.com/robots.txt		(from )
18:11:26	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2031%20Mar%202024%2013:10:01%20GMT	http://stats.wp.com/	C:/My%20Web%20Sites/atif/stats.wp.com/index.html	(from https://hadafplay.com/)
18:11:26	184608/184608	U--M--	200	updated ('OK')	text/javascript	etag:8298112864217427570	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-8953089148585694	C:/My%20Web%20Sites/atif/pagead2.googlesyndication.com/pagead/js/f011a.txt	(from https://hadafplay.com/)
18:11:27	80099/80099	U-----	200	untouched ('')	application/rss+xml	etag:%227537986c024e4c7b38ed6a450cdb8779%22	https://hadafplay.com/feed/	C:/My%20Web%20Sites/atif/hadafplay.com/feed/index.html	(from https://hadafplay.com/)
18:11:27	2838/2838	U-----	200	untouched ('')	application/rss+xml	etag:%227537986c024e4c7b38ed6a450cdb8779%22	https://hadafplay.com/comments/feed/	C:/My%20Web%20Sites/atif/hadafplay.com/comments/feed/index.html	(from https://hadafplay.com/)
18:11:27	110147/110147	U-----	200	untouched ('OK')	text/css	etag:W/%221ae43-65ba52ab-237829;br%22	https://hadafplay.com/wp-includes/css/dist/block-library/style.min.css?ver=6.4.3	C:/My%20Web%20Sites/atif/hadafplay.com/wp-includes/css/dist/block-library/style.min84fc.css	(from https://hadafplay.com/)
18:11:27	4186/4186	U-----	200	untouched ('OK')	text/css	etag:W/%22105a-5cfb131e-237a9e;br%22	https://hadafplay.com/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=6.4.3	C:/My%20Web%20Sites/atif/hadafplay.com/wp-includes/js/mediaelement/wp-mediaelement.min84fc.css	(from https://hadafplay.com/)
18:11:28	11256/11256	U-----	200	untouched ('OK')	text/css	etag:W/%222bf8-5f739eb2-237a94;br%22	https://hadafplay.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.17	C:/My%20Web%20Sites/atif/hadafplay.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min1f61.css	(from https://hadafplay.com/)
18:11:28	28064/28064	U-----	200	untouched ('OK')	text/css	etag:W/%226da0-65043528-277ff9;br%22	https://hadafplay.com/wp-content/themes/kadence/assets/css/header.min.css?ver=1.1.43	C:/My%20Web%20Sites/atif/hadafplay.com/wp-content/themes/kadence/assets/css/header.minefb1.css	(from https://hadafplay.com/)
18:11:28	20936/20936	U-----	200	untouched ('OK')	text/css	etag:W/%2251c8-65043528-27804c;br%22	https://hadafplay.com/wp-content/themes/kadence/assets/css/global.min.css?ver=1.1.43	C:/My%20Web%20Sites/atif/hadafplay.com/wp-content/themes/kadence/assets/css/global.minefb1.css	(from https://hadafplay.com/)
18:11:28	33386/33386	U-----	200	untouched ('OK')	text/css	etag:W/%22826a-65043528-278048;br%22	https://hadafplay.com/wp-content/themes/kadence/assets/css/content.min.css?ver=1.1.43	C:/My%20Web%20Sites/atif/hadafplay.com/wp-content/themes/kadence/assets/css/content.minefb1.css	(from https://hadafplay.com/)
18:11:28	18985/18985	U-----	200	untouched ('OK')	text/css	etag:W/%224a29-65043528-278049;br%22	https://hadafplay.com/wp-content/themes/kadence/assets/css/footer.min.css?ver=1.1.43	C:/My%20Web%20Sites/atif/hadafplay.com/wp-content/themes/kadence/assets/css/footer.minefb1.css	(from https://hadafplay.com/)
18:11:29	1477/1477	U-----	200	untouched ('OK')	text/css	etag:W/%225c5-65f1ba95-431383;br%22	https://hadafplay.com/wp-content/plugins/kadence-blocks/dist/style-blocks-column.css?ver=3.2.26	C:/My%20Web%20Sites/atif/hadafplay.com/wp-content/plugins/kadence-blocks/dist/style-blocks-column2c74.css	(from https://hadafplay.com/)
18:11:29	7852/7852	U-----	200	untouched ('OK')	text/css	etag:W/%221eac-65f1ba95-43138d;br%22	https://hadafplay.com/wp-content/plugins/kadence-blocks/dist/style-blocks-rowlayout.css?ver=3.2.26	C:/My%20Web%20Sites/atif/hadafplay.com/wp-content/plugins/kadence-blocks/dist/style-blocks-rowlayout2c74.css	(from https://hadafplay.com/)
18:11:29	3679/3679	U-----	200	untouched ('OK')	text/css	etag:W/%22e5f-65f1ba95-431388;br%22	https://hadafplay.com/wp-content/plugins/kadence-blocks/dist/style-blocks-image.css?ver=3.2.26	C:/My%20Web%20Sites/atif/hadafplay.com/wp-content/plugins/kadence-blocks/dist/style-blocks-image2c74.css	(from https://hadafplay.com/)
18:11:29	544959/544959	U--M-Z	200	updated ('OK')	application/json	date:Sun,%2031%20Mar%202024%2013:10:04%20GMT	https://hadafplay.com/wp-json/	C:/My%20Web%20Sites/atif/hadafplay.com/wp-json/index.html	(from https://hadafplay.com/)
18:11:29	111038/111038	U--M-Z	200	updated ('OK')	application/json	date:Sun,%2031%20Mar%202024%2013:10:04%20GMT	https://hadafplay.com/wp-json/wp/v2/pages/1284	C:/My%20Web%20Sites/atif/hadafplay.com/wp-json/wp/v2/pages/1284.json	(from https://hadafplay.com/)
